nodeid,shapeid,x,y
293,10,-84.2200244,30.3858381
294,10,-84.2198838,30.385817
295,10,-84.2197516,30.3858157
296,10,-84.2196187,30.3858209
297,10,-84.2194829,30.3858425
298,10,-84.2193764,30.38587
299,10,-84.2192819,30.3858963
300,10,-84.2191696,30.3859365
301,10,-84.2190115,30.3860179
302,10,-84.218876,30.3861111
303,10,-84.2187794,30.3861926
304,10,-84.218702,30.3862706
305,10,-84.2186384,30.3863522
306,10,-84.2185727,30.3864547
307,10,-84.2185195,30.3865574
308,10,-84.2184483,30.3867218
309,10,-84.2183765,30.3868545
310,10,-84.2182692,30.3869869
311,10,-84.2181782,30.3870813
312,10,-84.218101,30.3871545
313,10,-84.2180014,30.3872139
314,10,-84.2178713,30.3872917
315,10,-84.2177538,30.3873436
316,10,-84.217622,30.3873884
317,10,-84.2175278,30.3874137
318,10,-84.217309,30.3874558
319,10,-84.2170792,30.3875097
320,10,-84.2170153,30.3875331
321,10,-84.2168974,30.3875763
322,10,-84.2167826,30.3876372
323,10,-84.216747,30.3876561
324,10,-84.2166507,30.387708
325,10,-84.2165101,30.3878226
326,10,-84.2164138,30.3879084
327,10,-84.2163217,30.3880239
328,10,-84.2162249,30.388161
329,10,-84.2162192,30.3881691
330,10,-84.2161469,30.388316
331,10,-84.2160905,30.3884642
332,10,-84.2160875,30.3884729
333,10,-84.2160122,30.3886865
334,10,-84.2159903,30.3887487
335,10,-84.2158763,30.3890736
336,10,-84.2158475,30.3891446
337,10,-84.215833,30.3891802
338,10,-84.2157452,30.3893562
339,10,-84.2156836,30.3894456
340,10,-84.2155936,30.3895525
341,10,-84.2155386,30.3896113
342,10,-84.2154771,30.3896698
343,10,-84.215368,30.3897551
344,10,-84.2152331,30.389845
345,10,-84.2151555,30.3898842
346,10,-84.2150681,30.3899283
347,10,-84.2149647,30.3899721
348,10,-84.2149483,30.389979
349,10,-84.2148484,30.3900087
350,10,-84.2142806,30.3901649
351,10,-84.2141534,30.3901999
352,10,-84.2141289,30.3902075
353,10,-84.2138925,30.3902806
354,10,-84.2138778,30.3902872
355,10,-84.2137269,30.390355
356,10,-84.21358,30.3904423
357,10,-84.213513,30.3904943
358,10,-84.2134224,30.3905646
359,10,-84.2132916,30.3906991
360,10,-84.2132132,30.3908076
361,10,-84.2131895,30.3908404
362,10,-84.2131407,30.3909383
363,10,-84.213106,30.3910079
364,10,-84.2130717,30.3910794
365,10,-84.2130585,30.3911391
366,10,-84.2130333,30.3912429
367,10,-84.2130222,30.3913254
368,10,-84.213019,30.3914043
369,10,-84.2130348,30.3916071
370,10,-84.2130647,30.3917451
371,10,-84.2131013,30.3918504
372,10,-84.2131545,30.3919682
373,10,-84.2132305,30.392097
374,10,-84.2133663,30.3922546
375,10,-84.2135102,30.3923836
376,10,-84.2135895,30.3924373
377,10,-84.2136479,30.3924769
378,10,-84.2138444,30.3925922
379,10,-84.2138866,30.3926169
380,10,-84.2140844,30.3927734
381,10,-84.2141785,30.3928611
382,10,-84.2143135,30.3930117
383,10,-84.2145178,30.3932753
384,10,-84.2147757,30.393612
385,10,-84.2148345,30.3936889
386,10,-84.2148926,30.393765
387,10,-84.2153099,30.3943109
388,10,-84.2153884,30.3943996
389,10,-84.2154581,30.3944725
390,10,-84.2156329,30.3946302
391,10,-84.2157207,30.3946954
392,10,-84.2157296,30.394702
393,10,-84.2159112,30.3948095
394,10,-84.2161091,30.3949051
395,10,-84.2162743,30.3949667
396,10,-84.2164563,30.3950157
397,10,-84.2166117,30.3950455
398,10,-84.2167249,30.3950634
