highway,source,foot,building,service,addr:street,addr:housenumber,barrier,addr:city,addr:country,addr:postcode,name,amenity,FIXME,surface,natural,maxspeed,oneway,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,golf,leisure,building:levels,tiger:zip_left,cycleway,tiger:zip_right,access,lanes,tiger:source,tiger:tlid,tiger:upload_uuid,tiger:reviewed,office,sport,tiger:separated,landuse,is_in,bridge,waterway,website,cycleway:right,tiger:name_base_1,tiger:name_type_1,HFCS,basin,building:material,roof:shape,addr:housename,fence_type,name_1,tiger:zip,tunnel,admin_level,boundary,capacity:disabled,cfcc,county,hgv,noexit,operator,ref,sidewalk,unsigned_ref,addr:state,area,building:colour,building:name,dispensing,entrance,footway,hazard:bicycle,junction,max,place,power,rcn,tracktype,wikipedia
residential,,,,,,,,,,,Four Oaks Boulevard,,,paved,,40 mph,,A41,"Leon, FL",Four Oaks,Blvd,,,,"32399; 32311",,"32399; 32311",,,tiger_import_dch_v0.6_20070809,"82891968:82888496:82888497:82893503:82892392:82894985:82895304:82895215:82893963:82892360; 82892131:82892134:82892386",bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Park Crossing Trail,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Four Oaks Boulevard,,,,,,yes,A41,"Leon, FL",Four Oaks,Blvd,,,,"32399; 32311",,"32399; 32311",,,tiger_import_dch_v0.6_20070809,"82891968:82888496:82888497:82893503:82892392:82894985:82895304:82895215:82893963:82892360; 82892131:82892134:82892386",bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Four Oaks Boulevard,,,,,,yes,A41,"Leon, FL",Four Oaks,Blvd,,,,"32399; 32311",,"32399; 32311",,,tiger_import_dch_v0.6_20070809,"82891968:82888496:82888497:82893503:82892392:82894985:82895304:82895215:82893963:82892360; 82892131:82892134:82892386",bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tertiary,,,,,,,,,,,Blair Stone Road,,,,,35 mph,yes,,,,,,,,,lane,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tertiary,,,,,,,,,,,East Orange Avenue,,,,,,yes,,,,,,,,,lane,,,1,,,,,,,,,"Leon, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Beckett Road,,,,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Poe Place,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Hemingway  Boulevard,,,paved,,30 mph,yes,,,,,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Hemingway  Boulevard,,,paved,,30 mph,yes,,,,,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Hemingway  Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Thoreau Avenue,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Updike Avenue,,,,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Faulkner Drive,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 mph,,,,,
residential,,,,,,,,,,,Fitzgerald Road,,,,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Kipling Court,,,,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Coolidge Court,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Hillbrooke Trail,,,paved,,20 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Salinger Way,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,bing,,,,,,,,,,Calumet Drive,,,paved,,25 mph,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,bing,,,,,,,,,,Raleigh Way,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Shumard Oak Boulevard,,,,,,yes,A41,"Leon, FL",Shumard Oak,Blvd,,,,,,32399,,,,,,,,,,,,,,,right,,,,,,,,,,32399,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,,,,,,,,,,,Shumard Oak Boulevard,,,,,,yes,A41,"Leon, FL",Shumard Oak,Blvd,,,,32399,,32399,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,bing,,,,,,,,,,Summer Tree Drive,,,paved,,25 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential,bing,,,,,,,,,,O'Toole Way,,,paved,,25 mph,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
